thisN,thisTrialN,thisRepN,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,mouse.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,positions,ISI.started,blank.started,blank.stopped,ISI.stopped,corsi_present.started,blk1_3.started,blk2_3.started,blk3_3.started,blk4_3.started,blk5_3.started,blk6_3.started,blk7_3.started,blk8_3.started,blk9_3.started,blk1_3.stopped,blk2_3.stopped,blk3_3.stopped,blk4_3.stopped,blk5_3.stopped,blk6_3.stopped,blk7_3.stopped,blk8_3.stopped,blk9_3.stopped,corsi_present.stopped,corsi_respond.started,blk1.started,blk2.started,blk3.started,blk4.started,blk5.started,blk6.started,blk7.started,blk8.started,blk9.started,corsi_mouse.started,submit_button.started,corsi_respond.stopped,corsi_task.corsi_mouse.x,corsi_task.corsi_mouse.y,corsi_task.corsi_mouse.leftButton,corsi_task.corsi_mouse.midButton,corsi_task.corsi_mouse.rightButton,corsi_task.corsi_mouse.time,corsi_task.corsi_mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.028926958446390927,0.045986916637048125,0.045986916637048125,0.0289361251052469,1.8464330000570044,None,[np.float64(0.0700836820083682)],[np.float64(-0.3493723849372385)],[1],[0],[0],[1.8174330417532474],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-13_13h09.19.437,corsi_blocks,,2025.1.1,59.914008388931784,2026-03-13 13h09.21.406002 +0800,
0,0,0,0,0,0,0,,,,,,,,0,0,0,0,2.3629842083901167,,,,,,,,,,,,,,"[[0.28875, 0.39875], [0.22, 0.2425], [0.0675, 0.07375], [-0.24625, 0.04375], [-0.09875, 0.065], [-0.68625, -0.225], [0.30125, -0.0175], [0.25625, 0.0975], [0.365, -0.27625]]",1.8494115000357851,1.8630131667014211,2.3629842083901167,2.3459487500367686,2.346174416714348,2.3629842083901167,2.3629842083901167,2.3629842083901167,2.3629842083901167,2.3629842083901167,2.3629842083901167,2.3629842083901167,2.3629842083901167,2.3629842083901167,2.863073958433233,2.863073958433233,2.863073958433233,2.863073958433233,2.863073958433233,2.863073958433233,2.863073958433233,2.863073958433233,2.863073958433233,2.8463312500389293,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-13_13h09.19.437,corsi_blocks,,2025.1.1,59.914008388931784,2026-03-13 13h09.21.406002 +0800,
1,0,1,0,0,0,0,,,,,,,,1,0,1,0,2.863073958433233,,,,,,,,,,,,,,,,,,,2.8464677084703,2.863073958433233,2.863073958433233,2.863073958433233,2.863073958433233,2.863073958433233,2.863073958433233,2.863073958433233,2.863073958433233,2.863073958433233,3.363223291700706,3.363223291700706,3.363223291700706,3.363223291700706,3.363223291700706,3.363223291700706,3.363223291700706,3.363223291700706,3.363223291700706,3.3488822084618732,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-13_13h09.19.437,corsi_blocks,,2025.1.1,59.914008388931784,2026-03-13 13h09.21.406002 +0800,
2,0,2,0,0,0,0,,,,,,,,2,0,2,0,3.363223291700706,,,,,,,,,,,,,,,,,,,3.3490335000678897,3.363223291700706,3.363223291700706,3.363223291700706,3.363223291700706,3.363223291700706,3.363223291700706,3.363223291700706,3.363223291700706,3.363223291700706,3.862906791619025,3.862906791619025,3.862906791619025,3.862906791619025,3.862906791619025,3.862906791619025,3.862906791619025,3.862906791619025,3.862906791619025,3.8464010833995417,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-13_13h09.19.437,corsi_blocks,,2025.1.1,59.914008388931784,2026-03-13 13h09.21.406002 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85372579167597,3.862906791619025,3.862906791619025,3.862906791619025,3.862906791619025,3.862906791619025,3.862906791619025,3.862906791619025,3.862906791619025,3.862906791619025,0.007257958292029798,10.113088291720487,17.048669833457097,"[np.float64(0.13179916317991633), np.float64(-0.012552301255230125), np.float64(0.032426778242677826), np.float64(-0.08054393305439331), np.float64(-0.08158995815899582), np.float64(-0.0794979079497908), np.float64(0.13493723849372385), np.float64(0.11192468619246862), np.float64(0.25523012552301255), np.float64(0.26569037656903766), np.float64(0.348326359832636), np.float64(0.36401673640167365), np.float64(0.44037656903765693)]","[np.float64(-0.20502092050209206), np.float64(0.3985355648535565), np.float64(0.3817991631799163), np.float64(0.350418410041841), np.float64(0.35251046025104604), np.float64(0.35251046025104604), np.float64(0.1108786610878661), np.float64(0.12761506276150628), np.float64(0.08263598326359832), np.float64(-0.011506276150627616), np.float64(-0.14748953974895398), np.float64(-0.25), np.float64(-0.3577405857740586)]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0260820416733623, 6.043710458325222, 6.24598091666121, 8.859098791726865, 9.059559666668065, 9.259509291732684, 9.994611625093967, 10.192791791632771, 10.826103458297439, 11.359178833314218, 12.076196166686714, 12.645701583242044, 13.194542791694403]","[None, None, None, None, None, None, None, None, 'blk8', 'blk7', None, 'blk9', None]",,,,,,,,,
