4.2773 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
4.5403 	EXP 	Created feedback_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='feedback_text', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
4.5423 	EXP 	Created background_5 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=np.False_, flipVert=np.False_, image='assets/background.jpg', interpolate=True, mask=None, maskParams=None, name='background_5', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([3., 3.]), texRes=128.0, units='height', win=Window(...))
4.5426 	EXP 	Created thank_you = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='thank_you', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0754 	EXP 	textbox: autoLog = True
0.0934 	EXP 	background: autoDraw = True
0.0934 	EXP 	instructions: autoDraw = True
0.0934 	EXP 	cont_button_2: autoDraw = True
2.4965 	DATA 	Mouse: Left button down, pos=(835,237)
2.6295 	DATA 	Mouse:  Left button up, pos=(835,237)
5.9966 	DATA 	Mouse: Left button down, pos=(775,90)
6.0116 	EXP 	Imported spreadsheets/choose_digitSpan.xlsx as conditions, 10 conditions, 2 params
6.0118 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'condition_file': 'three.xlsx', 'level': 3, 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
6.0133 	EXP 	Imported spreadsheets/three.xlsx as conditions, 3 conditions, 2 params
6.0133 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'digitSpan': 3, 'digits': 217, 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
6.0134 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
6.0255 	EXP 	background: autoDraw = False
6.0255 	EXP 	instructions: autoDraw = False
6.0255 	EXP 	cont_button_2: autoDraw = False
6.0255 	EXP 	pres_text: height = np.float64(0.1)
6.0255 	EXP 	pres_text: height = np.float64(0.1)
6.0255 	EXP 	pres_text: height = np.float64(0.1)
6.0255 	EXP 	pres_text: text = '2'
6.0255 	EXP 	background_2: autoDraw = True
6.0255 	EXP 	fixation: autoDraw = True
6.1316 	DATA 	Mouse:  Left button up, pos=(775,90)
6.9464 	DATA 	Mouse: Left button down, pos=(744,452)
7.0257 	EXP 	fixation: autoDraw = False
7.0257 	EXP 	pres_text: autoDraw = True
7.0630 	DATA 	Mouse:  Left button up, pos=(744,452)
7.9472 	DATA 	Mouse: Left button down, pos=(739,434)
8.0093 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
8.0259 	EXP 	background_2: autoDraw = False
8.0259 	EXP 	pres_text: autoDraw = False
8.0259 	EXP 	background_2: autoDraw = False
8.0259 	EXP 	fixation: autoDraw = False
8.0259 	EXP 	pres_text: autoDraw = False
8.0259 	EXP 	pres_text: height = np.float64(0.1)
8.0259 	EXP 	pres_text: height = np.float64(0.1)
8.0259 	EXP 	pres_text: height = np.float64(0.1)
8.0259 	EXP 	pres_text: text = '1'
8.0259 	EXP 	background_2: autoDraw = True
8.0259 	EXP 	fixation: autoDraw = True
8.0963 	DATA 	Mouse:  Left button up, pos=(739,434)
8.4132 	DATA 	Mouse: Left button down, pos=(739,434)
8.5291 	DATA 	Mouse:  Left button up, pos=(739,434)
8.6121 	DATA 	Mouse: Left button down, pos=(739,434)
8.7142 	DATA 	Mouse:  Left button up, pos=(739,434)
8.8050 	DATA 	Mouse: Left button down, pos=(739,434)
8.9111 	DATA 	Mouse:  Left button up, pos=(739,434)
8.9822 	DATA 	Mouse: Left button down, pos=(739,434)
9.0256 	EXP 	fixation: autoDraw = False
9.0256 	EXP 	pres_text: autoDraw = True
9.0800 	DATA 	Mouse:  Left button up, pos=(739,434)
9.9957 	DATA 	Mouse: Left button down, pos=(1011,336)
10.0089 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
10.0258 	EXP 	background_2: autoDraw = False
10.0258 	EXP 	pres_text: autoDraw = False
10.0258 	EXP 	background_2: autoDraw = False
10.0258 	EXP 	fixation: autoDraw = False
10.0258 	EXP 	pres_text: autoDraw = False
10.0258 	EXP 	pres_text: height = np.float64(0.1)
10.0258 	EXP 	pres_text: height = np.float64(0.1)
10.0258 	EXP 	pres_text: height = np.float64(0.1)
10.0258 	EXP 	pres_text: text = '7'
10.0258 	EXP 	background_2: autoDraw = True
10.0258 	EXP 	fixation: autoDraw = True
10.1453 	DATA 	Mouse:  Left button up, pos=(1011,336)
10.2301 	DATA 	Mouse: Left button down, pos=(1011,336)
10.3129 	DATA 	Mouse:  Left button up, pos=(1011,336)
11.0257 	EXP 	fixation: autoDraw = False
11.0257 	EXP 	pres_text: autoDraw = True
11.0942 	DATA 	Keypress: escape
11.1042 	EXP 	Device response: <KeyPress from None: t=11.2047003749758, value=['escape', 15.63682270841673], duration=None>
11.4398 	DATA 	Keypress: escape
11.4428 	EXP 	Device response: <KeyPress from None: t=11.550575958332047, value=['escape', 15.982407000032254], duration=None>
12.0257 	EXP 	background_2: autoDraw = False
12.0257 	EXP 	pres_text: autoDraw = False
12.0257 	EXP 	background_2: autoDraw = False
12.0257 	EXP 	fixation: autoDraw = False
12.0257 	EXP 	pres_text: autoDraw = False
12.0257 	EXP 	background_3: autoDraw = True
12.0257 	EXP 	recall_txt: autoDraw = True
12.0257 	EXP 	textbox: autoDraw = True
12.0257 	EXP 	cont_button: autoDraw = True
12.2116 	DATA 	Mouse: Left button down, pos=(848,265)
12.3124 	DATA 	Mouse:  Left button up, pos=(848,265)
13.6660 	DATA 	Keypress: return
13.6762 	EXP 	Device response: <KeyPress from None: t=13.783917791675776, value=['return', 18.20861854183022], duration=None>
14.2859 	DATA 	Keypress: return
14.2930 	EXP 	Device response: <KeyPress from None: t=14.400739666656591, value=['return', 18.82843904173933], duration=None>
15.5978 	DATA 	Mouse: Left button down, pos=(701,82)
15.6255 	EXP 	background_3: autoDraw = False
15.6255 	EXP 	recall_txt: autoDraw = False
15.6255 	EXP 	textbox: autoDraw = False
15.6255 	EXP 	cont_button: autoDraw = False
15.6255 	EXP 	feedback_text: height = np.float64(0.05)
15.6255 	EXP 	feedback_text: height = np.float64(0.05)
15.6255 	EXP 	feedback_text: height = np.float64(0.05)
15.6255 	EXP 	feedback_text: text = 'Incorrect'
15.6255 	EXP 	background_4: autoDraw = True
15.6255 	EXP 	feedback_text: autoDraw = True
15.7134 	DATA 	Mouse:  Left button up, pos=(701,82)
16.6089 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'digitSpan': 3, 'digits': 486, 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
16.6090 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
16.6251 	EXP 	background_4: autoDraw = False
16.6251 	EXP 	feedback_text: autoDraw = False
16.6251 	EXP 	background_4: autoDraw = False
16.6251 	EXP 	feedback_text: autoDraw = False
16.6251 	EXP 	pres_text: height = np.float64(0.1)
16.6251 	EXP 	pres_text: height = np.float64(0.1)
16.6251 	EXP 	pres_text: height = np.float64(0.1)
16.6251 	EXP 	pres_text: text = '4'
16.6251 	EXP 	background_2: autoDraw = True
16.6251 	EXP 	fixation: autoDraw = True
17.6260 	EXP 	fixation: autoDraw = False
