thisN,thisTrialN,thisRepN,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,mouse.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,positions,ISI.started,blank.started,ISI.stopped,corsi_present.started,blk1_3.started,blk2_3.started,blk3_3.started,blk4_3.started,blk5_3.started,blk6_3.started,blk7_3.started,blk8_3.started,blk9_3.started,corsi_present.stopped,corsi_respond.started,blk1.started,blk2.started,blk3.started,blk4.started,blk5.started,blk6.started,blk7.started,blk8.started,blk9.started,corsi_mouse.started,submit_button.started,corsi_respond.stopped,corsi_task.corsi_mouse.x,corsi_task.corsi_mouse.y,corsi_task.corsi_mouse.leftButton,corsi_task.corsi_mouse.midButton,corsi_task.corsi_mouse.rightButton,corsi_task.corsi_mouse.time,corsi_task.corsi_mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.027294041588902473,0.043249999987892807,0.043249999987892807,0.027305041789077222,0.1790726250037551,None,[np.float64(0.12444444444444444)],[np.float64(-0.19666666666666666)],[1],[0],[0],[0.15166162489913404],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-13_13h19.23.745,corsi_blocks,,2025.1.1,60.0,2026-03-13 13h19.23.893790 +0800,
0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0.7100964999990538,,,,,,,,,,,,,,"[[-0.68625, -0.225], [0.25625, 0.0975], [-0.16125, -0.28], [-0.6025, 0.0725], [-0.26625, 0.235], [-0.18625, 0.41125], [-0.09875, 0.065], [0.62875, -0.1825], [-0.01875, 0.235]]",0.182105541578494,0.1932219583541155,0.6852561249397695,0.6855084166163579,0.7100964999990538,0.7100964999990538,0.7100964999990538,0.7100964999990538,0.7100964999990538,0.7100964999990538,0.7100964999990538,0.7100964999990538,0.7100964999990538,1.1935075415531173,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-13_13h19.23.745,corsi_blocks,,2025.1.1,60.0,2026-03-13 13h19.23.893790 +0800,
1,0,1,0,0,0,0,,,,,,,,1,0,1,0,1.210087375016883,,,,,,,,,,,,,,,,,,1.193766166572459,1.210087375016883,1.210087375016883,1.210087375016883,1.210087375016883,1.210087375016883,1.210087375016883,1.210087375016883,1.210087375016883,1.210087375016883,1.6932433333713561,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-13_13h19.23.745,corsi_blocks,,2025.1.1,60.0,2026-03-13 13h19.23.893790 +0800,
2,0,2,0,0,0,0,,,,,,,,2,0,2,0,1.7100658332929015,,,,,,,,,,,,,,,,,,1.693443291587755,1.7100658332929015,1.7100658332929015,1.7100658332929015,1.7100658332929015,1.7100658332929015,1.7100658332929015,1.7100658332929015,1.7100658332929015,1.7100658332929015,2.193405249970965,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-13_13h19.23.745,corsi_blocks,,2025.1.1,60.0,2026-03-13 13h19.23.893790 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.201084208325483,2.2102719999384135,2.2102719999384135,2.2102719999384135,2.2102719999384135,2.2102719999384135,2.2102719999384135,2.2102719999384135,2.2102719999384135,2.2102719999384135,0.021976749994792044,2.9440231249900535,5.29507949994877,"[np.float64(-0.09888888888888889), np.float64(-0.09888888888888889), np.float64(0.0077777777777777776), np.float64(-0.27444444444444444), np.float64(0.022222222222222223), np.float64(0.48444444444444446)]","[np.float64(0.07222222222222222), np.float64(0.07222222222222222), np.float64(0.24555555555555555), np.float64(0.23333333333333334), np.float64(0.24), np.float64(-0.4166666666666667)]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.1283621668117121, 0.3090550834313035, 0.7269062084378675, 1.1771184584358707, 1.6099184583872557, 3.0933464583940804]","['blk7', 'blk7', 'blk9', 'blk5', 'blk9', None]",,,,,,,,,
